Year,Rank,Team,Record,Signed Players,Avg Age,Active Cash,Dead Cash,Total Cash
2020,1,HOU,4-12-0,55,26.3,"$192,489,580","$16,986,836","$261,735,595"
2020,2,NO,12-4-0,53,27.0,"$233,445,421","$9,000,166","$253,584,935"
2020,3,DAL,6-10-0,52,25.9,"$159,376,968","$21,631,582","$249,805,299"
2020,4,LAC,7-9-0,55,25.5,"$201,860,615","$6,506,526","$247,147,613"
2020,5,SF,6-10-0,55,26.4,"$139,826,064","$20,917,873","$243,983,860"
2020,6,PHI,4-11-1,52,25.8,"$189,047,426","$7,663,532","$240,209,619"
2020,7,LV,8-8-0,53,26.3,"$193,781,662","$8,765,225","$234,936,034"
2020,8,CIN,4-11-1,54,26.2,"$121,704,083","$8,188,104","$234,563,871"
2020,9,MIA,10-6-0,53,25.4,"$205,831,887","$18,585,995","$232,291,981"
2020,10,ARI,8-8-0,53,26.7,"$180,416,468","$6,522,354","$229,215,918"
2020,11,MIN,7-9-0,52,25.6,"$163,668,816","$17,008,208","$228,710,674"
2020,12,CHI,8-8-0,53,26.9,"$193,338,682","$8,116,625","$228,516,276"
2020,13,GB,13-3-0,52,26.0,"$175,284,242","$4,760,102","$227,559,199"
2020,14,CLE,11-5-0,52,25.7,"$178,397,069","$5,224,788","$225,326,256"
2020,15,BUF,13-3-0,52,26.7,"$206,918,396","$10,187,390","$223,199,805"
2020,16,BAL,11-5-0,53,26.8,"$168,436,290","$5,999,747","$222,434,858"
2020,17,IND,11-5-0,53,25.8,"$188,061,879","$8,767,417","$221,793,026"
2020,18,SEA,12-4-0,52,26.6,"$190,854,794","$10,804,732","$221,174,179"
2020,19,TEN,11-5-0,51,26.8,"$151,081,695","$20,626,772","$220,882,605"
2020,20,TB,11-5-0,54,27.1,"$204,623,340","$6,682,862","$216,934,740"
2020,21,LAR,10-6-0,53,25.7,"$194,202,249","$16,223,074","$215,608,768"
2020,22,CAR,5-11-0,53,26.0,"$174,053,397","$11,825,322","$212,688,413"
2020,23,DEN,5-11-0,53,25.6,"$135,404,688","$7,783,303","$205,985,315"
2020,24,ATL,4-12-0,54,26.7,"$193,036,066","$9,433,853","$205,770,850"
2020,25,KC,14-2-0,51,26.1,"$182,213,498","$7,823,872","$202,794,195"
2020,26,WAS,7-9-0,53,26.1,"$160,573,537","$13,797,398","$202,715,438"
2020,27,DET,5-11-0,52,26.8,"$141,794,789","$9,075,111","$200,759,182"
2020,28,NYG,6-10-0,53,25.9,"$170,474,214","$8,972,443","$193,597,452"
2020,29,PIT,12-4-0,54,26.3,"$153,764,306","$5,697,990","$187,050,048"
2020,30,NYJ,2-14-0,53,25.3,"$95,099,002","$38,764,517","$179,996,030"
2020,31,JAX,1-15-0,54,25.1,"$104,011,925","$8,756,830","$168,401,870"
2020,32,NE,7-9-0,53,26.6,"$115,119,003","$7,468,251","$164,101,399"
2021,1,TB,13-4-0,57,27.6,"$232,995,046","$10,581,386","$264,956,432"
2021,2,DAL,12-5-0,58,26.2,"$236,781,374","$13,540,879","$261,616,245"
2021,3,CLE,8-9-0,56,25.6,"$182,238,909","$24,178,652","$238,941,551"
2021,4,NE,10-7-0,59,27.0,"$203,406,914","$12,727,906","$235,117,142"
2021,5,SF,10-7-0,55,26.9,"$196,376,472","$8,587,947","$231,188,917"
2021,6,BUF,11-6-0,55,26.5,"$195,682,449","$5,445,949","$226,342,753"
2021,7,WAS,7-10-0,56,25.7,"$160,142,498","$7,217,234","$226,235,385"
